rsi,cycle,band,atr,obv,accdist,label
61.68,0.0376,202.4747,0.3067,-271482,-21568.15,false
60.79,-0.0041,373.6581,0.4109,-22516,44723.34,false
62.33,0.0079,102.5437,0.186,1335323,1284258.1,true
66.21,0.0764,102.5131,0.1835,1698541,1683700.4,true
68.85,0.0994,102.4857,0.1878,1797994,1961220.1,false
67.27,-0.0558,102.709,0.1494,2695900,3123351,false
58.27,0.239,375.0155,0.3442,78169,67115.01,true
64.18,0.0679,103.4267,0.1573,3745984,3107231.2,false
59.96,0.1279,203.6967,0.2596,-206179,135705.64,false
64.5,0.2223,374.9816,0.357,83664,80962.67,false
68.38,0.0744,103.4649,0.1604,3879515,3482838.2,false
62.57,0.1589,203.6773,0.2704,-118737,148074.61,false
69.41,0.2848,374.8707,0.3809,97069,105836.39,false
70.25,0.0874,103.4696,0.1661,3901949,3411411.2,false
68,0.1889,203.6067,0.2839,-98226,170090.16,false
73.34,0.3373,374.712,0.3934,101087,107974.15,false
59.82,0.066,203.6141,0.2955,146444,280359.34,true
65.5,0.0186,103.5236,0.1782,4226815,3363640.8,false
60.88,0.0782,203.6286,0.2898,129983,291015.5,true
66.67,0.0201,374.7775,0.4814,64445,108664.91,false
65.57,0.0906,203.6613,0.3033,228984,372491.22,false
69.36,0.072,374.8809,0.49,81796,123198.7,false
67.08,-0.0009,103.5727,0.1749,4464258,3657195.2,false
67.43,0.0765,376.2616,0.2972,128710,178087.38,false
64.53,0.0803,204.2722,0.1907,340337,391206.12,false
65.85,0.0118,376.2811,0.2825,120660,177939.62,false
70.87,0.0447,204.6004,0.17,774056,588315.06,false
45.22,0.1391,204.1036,0.2522,298803,61250.67,true
51.5,0.1026,103.6058,0.1542,1286747,604703.06,false
48.38,0.1627,204.093,0.2404,342446,85567.2,true
55.64,0.1372,103.6106,0.1557,1928208,1000556.75,false
54,0.0675,204.1737,0.2402,341442,97533.99,true
56.66,0.105,204.2118,0.2473,339388,125823.7,true
49.87,0.135,375.7622,0.3603,-93924,42212.36,true
61.25,0.1257,204.1817,0.2553,390456,166058.1,false
53.52,0.2078,375.8024,0.3675,-74974,48276.16,true
58.77,0.025,103.6454,0.1592,1902242,1397545.8,false
64.78,0.1325,204.1202,0.2585,457253,178491.48,false
58.76,0.2388,375.7599,0.3768,-71991,49736.11,false
61.63,0.0575,103.6283,0.1526,1944065,1241654.1,false
61.25,0.2451,375.6959,0.3711,-90936,30126.92,false
71.27,0.094,203.9665,0.2605,482093,173211.1,false
63.61,0.1877,375.6096,0.3625,-108192,11241.81,false
64.14,0.0893,375.5625,0.3546,-121411,1732.03,false
55.89,0.026,376.0695,0.3586,-119771,-36407.01,false
57.42,0.1176,376.3815,0.3625,-108046,-30592.73,false
53.03,0.1055,204.5816,0.2717,177700,11042.57,false
61.48,0.1194,376.5025,0.3682,-79861,-10328.05,false
52.59,0.0364,103.7767,0.1396,1043361,178395.89,false
62.31,0.1493,376.5871,0.3674,-68516,-1302.95,false
56.14,0.0601,103.7802,0.1368,1036167,340653.62,false
56.16,0.1031,204.6081,0.2696,231787,24527.44,false
63.8,0.104,376.6267,0.3653,-75711,-4221.35,false
52.26,0.1606,204.2994,0.2854,6428,-37138.94,false
49.56,0.0667,204.3062,0.2034,-30841,88946.92,false
50.84,0.1295,204.3233,0.2017,26471,111882.05,false
48.87,0.1787,375.6946,0.291,-41433,67288.05,false
61.32,0.1485,204.273,0.2232,-171619,30297.32,false
59.11,0.2512,375.6029,0.3181,-55367,71079.49,false
55.31,0.0641,103.3217,0.1528,-756551,343026.22,false
55.81,0.1429,204.3138,0.3362,150788,72137.61,false
54.87,0.1482,203.6999,0.2584,88091,19124.84,false
49.34,0.1096,373.9445,0.4241,61543,75505.89,false
52.86,0.2312,203.5695,0.3047,135253,-25027.83,true
58.64,0.0415,203.6386,0.3126,170494,109.55,true
52.96,0.1043,372.8702,0.4202,200078,117481.98,true
70.82,0.184,203.4762,0.3473,446028,182617.3,false
65.82,0.2478,372.7831,0.452,304422,169436.28,false
58.78,0.0856,101.9431,0.2091,-1750529,-3269733,false
65.62,0.16,372.6682,0.4959,333766,211813.66,false
66.61,0.1129,372.5605,0.4945,382880,250582.38,false
0,0,0,0,0,0,true
0,0,0,0,0,0,true
0,0,0,0,0,0,true
0,0,0,0,0,0,false
0,-348.1403,0,0,0,0,false
0,-70.8409,0,0,0,0,false
0,-160.4392,0,0,0,0,true
0,-122.1547,0,0,0,0,true
0,-49.6045,0,0,0,0,true
0,-36.5775,0,0,0,0,true
0,-67.8435,0,0,0,0,true
0,-49.6467,0,0,0,0,true
86,-36.0152,0,0.6497,0,0,true
47.98,-14.1942,0,0.4817,0,0,false
86.08,-25.9715,0,0.6153,0,0,true
63.97,-7.1933,0,0.3509,0,0,true
48.39,-10.1414,0,0.4892,0,0,false
86.11,-18.6688,0,0.6025,0,0,true
86.18,-13.407,0,0.611,0,0,false
64.32,-1.8793,103.1798,0.2953,0,0,false
85.25,-2.393,375.7562,0.5554,0,0,true
64.3,-0.4882,103.4506,0.2714,0,0,false
84.9,-0.3264,377.087,0.5207,0,0,true
64.26,-0.0264,103.685,0.276,0,0,true
49.16,-0.0627,203.8751,0.3448,0,0,true
85.12,0.0038,377.3935,0.5443,0,0,true
64.97,0.0943,103.6842,0.281,0,0,false
49.91,0.0448,204.058,0.3389,0,0,true
85.39,0.1475,377.5863,0.5426,0,0,true
85.66,0.1933,377.7638,0.568,0,0,false
64.22,0.0856,104.0779,0.2664,0,0,false
83.28,0.0801,378.9586,0.5334,0,0,false
76.23,0.0914,381.0142,0.4129,0,0,true
76.72,0.3165,380.9814,0.4179,0,0,true
64.22,0.0599,104.4995,0.1977,0,0,true
77.14,0.127,381.0493,0.4067,0,0,false
66.26,0.0862,104.4574,0.1985,0,0,false
55.89,0.1306,205.3054,0.2384,0,0,false
