rsi,cycle,band,atr,obv,accdist,label
52.25,-0.0789,190.3687,0.1332,-124690,-33444.26,true
56.25,-0.218,356.4812,0.2711,77762,60951.07,true
54.24,-0.1962,356.5432,0.2743,52627,41857.02,true
61.1,-0.0927,190.4576,0.1581,118063,76874.39,true
52.35,-0.1432,356.641,0.28,18203,41774.31,true
48.27,-0.033,95.4922,0.1295,1529942,622343.56,true
54.81,-0.0995,190.4968,0.1644,71264,56273.08,true
47.55,-0.1072,356.7113,0.2874,11808,41709.9,true
44.53,-0.0779,95.4722,0.1285,962827,148755.1,true
57.86,-0.0888,190.5523,0.1622,83361,74164.1,true
48.02,-0.0833,356.7695,0.291,22481,50824.03,true
48.57,-0.0692,95.4698,0.1303,1209973,420852.6,true
59.99,-0.1507,356.8951,0.3778,239571,41557.97,true
62.28,-0.0788,190.9829,0.2425,601861,202697.53,true
57.24,-0.1541,356.9762,0.382,209163,58372.06,true
64.18,0.0486,357.422,0.403,248909,99288.41,false
0,-335.3268,0,0,0,0,true
0,-65.375,0,0,0,0,true
0,-47.944,0,0,0,0,true
60.31,-1.3433,97.5301,0.3636,0,0,false
37.92,-3.3941,359.9959,0.4373,0,0,false
60.07,-0.9809,97.5458,0.3515,0,0,false
61.1,-1.431,196.323,0.3055,0,0,true
37.78,-2.539,359.9889,0.4204,0,0,true
59.69,-0.7553,97.5744,0.3486,0,0,true
59.7,-0.5616,97.6846,0.3186,0,0,true
37.67,-1.2268,360.1339,0.3947,0,0,true
37.26,-0.9091,360.1103,0.3883,0,0,true
59.74,-0.0868,98.4581,0.2018,0,0,true
60.89,-0.1434,197.0189,0.3036,0,0,false
58.76,-0.3006,197.1042,0.294,0,0,false
41.78,-0.2965,360.2252,0.3967,0,0,true
58.92,-0.2894,197.1892,0.2811,0,0,false
42.2,-0.2901,360.367,0.3786,0,0,true
59.54,-0.0944,98.5208,0.1972,0,0,false
57.68,-0.1628,197.3076,0.2698,0,0,false
40.62,-0.2003,360.6082,0.3839,0,0,true
57.76,-0.0563,98.5702,0.1994,0,0,true
56.24,-0.0989,197.3779,0.2748,0,0,true
56.74,-0.0558,197.4772,0.2639,0,0,true
41.94,-0.0705,361.0052,0.3697,0,0,true
57.74,-0.0599,98.6379,0.1901,0,0,true
54.45,-0.0229,197.5759,0.2468,0,0,true
53.11,-0.0675,197.5375,0.229,0,0,true
57.65,-0.0753,98.7388,0.1734,0,0,false
47.94,-0.2902,361.4321,0.3594,0,0,true
56.01,-0.0885,98.7711,0.1723,0,0,false
47.85,-0.2474,361.4491,0.3561,0,0,true
52.95,-0.1019,98.762,0.1731,0,0,false
56.08,-0.0716,98.76,0.1764,6629339,4127224.8,false
45.43,-0.0815,361.4524,0.3699,40709,169358.73,true
45.03,-0.1502,361.4476,0.3735,64268,168689.88,true
50.03,-0.0309,98.7157,0.179,7643399,5893659.5,false
57.79,-0.1347,197.6269,0.2188,200988,497495.3,true
56.66,-0.0868,197.6702,0.2117,45502,476226.94,true
46.09,-0.0289,98.7103,0.1459,572759,1774837.4,false
46.87,0.0049,98.6778,0.149,-533094,2321157,false
40.72,-0.0349,98.6158,0.1476,-1756413,1276945.4,true
37.07,-0.0934,98.5191,0.1518,-1707668,777970.2,true
49.3,-0.3365,362.4329,0.3198,333013,265635.75,true
55.49,-0.1526,198.125,0.2121,315852,582396.4,true
53.61,-0.2779,362.5149,0.3326,373124,290710.16,true
54.89,-0.1307,198.4146,0.2069,162023,400620.22,false
61.87,-0.1488,363.0405,0.3566,299365,207518.23,false
58.6,-0.1534,363.4187,0.3286,318443,203676.55,false
55.74,-0.0521,198.8361,0.1762,74998,304321.4,false
57.81,-0.0744,198.9615,0.1762,250582,408954.8,false
58.33,-0.1237,98.3756,0.1431,-591231,2796677.8,false
56.64,-0.0102,364.3483,0.2836,324821,209045.19,false
55.39,-0.1018,98.4101,0.141,-1391697,2349732,false
52.3,-0.086,98.4545,0.1467,-1355903,2418877.5,false
51.72,-0.0635,98.5117,0.1402,-1349909,2738291,false
50.09,-0.0676,199.0365,0.1896,137620,424909.94,false
39.99,-0.0976,198.9259,0.2038,-21256,367648.66,true
44.74,-0.023,364.304,0.2566,219701,121305.51,true
